home_details,graphs_and_data,map_this_home,comparables,street,zipcode,city,state,latitude,longitude,amount,amount_currency,amount_last_updated,amount_change_30days,valuation_range_low,valuation_range_high,region_name,region_id,region_type,overview_link,fsbo_link,sale_link,zillow_home_value_index,fips_county,usecode,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathrooms,bedrooms,last_sold_date,last_sold_price,complete
https://www.zillow.com/homedetails/3756-Sipes-Ln-San-Diego-CA-92173/17188780_zpid/,http://www.zillow.com/homedetails/3756-Sipes-Ln-San-Diego-CA-92173/17188780_zpid/#charts-and-data,http://www.zillow.com/homes/17188780_zpid/,http://www.zillow.com/homes/comps/17188780_zpid/,3756 Sipes Ln,92173,San Diego,CA,32.545903,-117.049846,510939,USD,11/2/2019,1947,485392,536486,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,306294,1999,,1874,2.5,5,10/15/2009,270000,TRUE
https://www.zillow.com/homedetails/3764-Sipes-Ln-San-Diego-CA-92173/17188781_zpid/,http://www.zillow.com/homedetails/3764-Sipes-Ln-San-Diego-CA-92173/17188781_zpid/#charts-and-data,http://www.zillow.com/homes/17188781_zpid/,http://www.zillow.com/homes/comps/17188781_zpid/,3764 Sipes Ln,92173,San Diego,CA,32.545825,-117.049621,513221,USD,11/2/2019,26,487560,538882,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,254676,1997,,1620,3,4,7/17/1998,155500,TRUE
https://www.zillow.com/homedetails/1506-Smythe-Ave-San-Diego-CA-92173/17176375_zpid/,http://www.zillow.com/homedetails/1506-Smythe-Ave-San-Diego-CA-92173/17176375_zpid/#charts-and-data,http://www.zillow.com/homes/17176375_zpid/,http://www.zillow.com/homes/comps/17176375_zpid/,1506 Smythe Ave,92173,San Diego,CA,32.566665,-117.053137,310114,USD,11/2/2019,2212,294608,325620,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,200688,1993,,1034,2,2,11/4/1999,105000,TRUE
https://www.zillow.com/homedetails/1507-Smythe-Ave-San-Diego-CA-92173/17176319_zpid/,http://www.zillow.com/homedetails/1507-Smythe-Ave-San-Diego-CA-92173/17176319_zpid/#charts-and-data,http://www.zillow.com/homes/17176319_zpid/,http://www.zillow.com/homes/comps/17176319_zpid/,1507 Smythe Ave,92173,San Diego,CA,32.567346,-117.052888,379591,USD,11/2/2019,1836,360611,398571,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,292749,1992,,1408,2.5,3,10/7/2002,230000,TRUE
https://www.zillow.com/homedetails/1508-Smythe-Ave-San-Ysidro-CA-92173/17176374_zpid/,http://www.zillow.com/homedetails/1508-Smythe-Ave-San-Ysidro-CA-92173/17176374_zpid/#charts-and-data,http://www.zillow.com/homes/17176374_zpid/,http://www.zillow.com/homes/comps/17176374_zpid/,1508 Smythe Ave,92173,San Ysidro,CA,32.566574,-117.053163,309967,USD,11/2/2019,4199,294469,325465,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,122459,1993,,1034,2,2,11/8/1993,82000,TRUE
https://www.zillow.com/homedetails/1509-Smythe-Ave-San-Diego-CA-92173/99359564_zpid/,http://www.zillow.com/homedetails/1509-Smythe-Ave-San-Diego-CA-92173/99359564_zpid/#charts-and-data,http://www.zillow.com/homes/99359564_zpid/,http://www.zillow.com/homes/comps/99359564_zpid/,1509 Smythe Ave,92173,San Diego,CA,32.567369,-117.052795,383552,USD,11/2/2019,7713,364374,402730,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,163263,1992,,1408,3,3,1/25/2011,145000,TRUE
https://www.zillow.com/homedetails/1510-Smythe-Ave-San-Ysidro-CA-92173/17176373_zpid/,http://www.zillow.com/homedetails/1510-Smythe-Ave-San-Ysidro-CA-92173/17176373_zpid/#charts-and-data,http://www.zillow.com/homes/17176373_zpid/,http://www.zillow.com/homes/comps/17176373_zpid/,1510 Smythe Ave,92173,San Ysidro,CA,32.566482,-117.053189,310322,USD,11/2/2019,4515,294806,325838,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,123957,1993,,1034,2,2,11/8/1993,8454,TRUE
https://www.zillow.com/homedetails/1511-Smythe-Ave-San-Diego-CA-92173/17176334_zpid/,http://www.zillow.com/homedetails/1511-Smythe-Ave-San-Diego-CA-92173/17176334_zpid/#charts-and-data,http://www.zillow.com/homes/17176334_zpid/,http://www.zillow.com/homes/comps/17176334_zpid/,1511 Smythe Ave,92173,San Diego,CA,32.567048,-117.052774,311486,USD,11/2/2019,4461,295912,327060,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,124786,1992,,1034,2,2,2/26/2010,110000,TRUE
https://www.zillow.com/homedetails/1512-Smythe-Ave-San-Ysidro-CA-92173/17176372_zpid/,http://www.zillow.com/homedetails/1512-Smythe-Ave-San-Ysidro-CA-92173/17176372_zpid/#charts-and-data,http://www.zillow.com/homes/17176372_zpid/,http://www.zillow.com/homes/comps/17176372_zpid/,1512 Smythe Ave,92173,San Ysidro,CA,32.5664,-117.053212,309957,USD,11/2/2019,2932,294459,325455,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,146373,1993,,1034,2,2,4/13/2011,130000,TRUE
https://www.zillow.com/homedetails/1515-Smythe-Ave-San-Diego-CA-92173/17176335_zpid/,http://www.zillow.com/homedetails/1515-Smythe-Ave-San-Diego-CA-92173/17176335_zpid/#charts-and-data,http://www.zillow.com/homes/17176335_zpid/,http://www.zillow.com/homes/comps/17176335_zpid/,1515 Smythe Ave,92173,San Diego,CA,32.567072,-117.052666,310084,USD,11/2/2019,3180,294580,325588,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,126736,1992,,1034,2,2,7/8/1998,92000,TRUE
